iter	Passed	Remaining
942	32617	1971
943	32652	1937
944	32688	1902
945	32724	1868
946	32768	1833
947	32814	1799
948	32851	1765
949	32886	1730
950	32920	1696
951	32954	1661
952	32988	1626
953	33026	1592
954	33062	1557
955	33097	1523
956	33132	1488
957	33179	1454
958	33223	1420
959	33260	1385
960	33294	1351
961	33365	1317
962	33401	1283
963	33440	1248
964	33475	1214
965	33511	1179
966	33546	1144
967	33581	1110
968	33616	1075
969	33659	1041
970	33702	1006
971	33744	972
972	33784	937
973	33823	902
974	33858	868
975	33892	833
976	33927	798
977	33961	763
978	33996	729
979	34029	694
980	34065	659
981	34100	625
982	34145	590
983	34192	555
984	34229	521
985	34265	486
986	34301	451
987	34337	417
988	34372	382
989	34407	347
990	34441	312
991	34475	278
992	34509	243
993	34556	208
994	34596	173
995	34638	139
996	34676	104
997	34712	69
998	34747	34
999	34782	0
